Year,Month,total_volume
2019,12,1259795227
2024,6,1143572939
2024,11,516454704
2022,3,501497910
2024,8,408377236
2023,8,397802543
2024,1,396155566
2020,3,379113435
2024,12,359802113
2024,7,331523575
2023,9,321848401
2020,9,305272963
2020,1,302942425
2023,10,289566210
2025,6,289238918
2025,9,284911403
2023,11,283809002
2025,10,280591035
2022,2,280247565
2023,12,273265650
2024,2,262236039
2020,8,255975190
2025,3,255184571
2022,5,254410864
2024,9,236255299
2024,10,236242723
2025,7,230304606
2025,5,229041671
2025,8,225874275
2021,10,220166441
2025,4,211223718
2020,2,210419431
2025,11,203704146
2024,4,203260987
2024,3,201809070
2024,5,196972638
2020,4,190018926
2020,5,170097495
2023,7,166470778
2021,9,164609000
2025,2,157562341
2021,6,154787868
2021,3,153439517
2025,1,152467811
2020,6,150636866
2022,4,146143796
2022,12,137696801
2022,6,137330875
2021,8,135297324
2022,11,128881703
2020,11,126222719
2022,8,124992471
2022,9,118184253
2021,12,111806552
2022,10,111500521
2021,4,111062898
2020,7,110796723
2021,11,109095331
2021,5,100553879
2023,1,98215195
2020,10,92565058
2021,7,92198255
2020,12,89986240
2022,1,89751306
2022,7,87312885
2023,2,87260985
2021,2,84662390
2021,1,66770009
2023,6,18086354
2025,12,13785302
2023,3,62677
2023,5,60701
2023,4,54755
